initial_name,capacity,number_of_nodes,highest_dist,lowest_dist,mean_dist,median_dist,25th_dist,75th_dist,sd_dist,highest_demand,lowest_demand,mean_demand,median_demand,25th_demand,75th_demand,sd_demand,original_objective,10x_split_objective,rounded_split_objective,split_in_10x,split_in_rounded,num_of_10x_splits,num_of_rounded_splits
p02_30,140,75,68.59300256,8.246211251,37.98344077,39.92492956,28.3979489,46.93606757,13.1956392,70,17,45.14666667,46,29.5,60,16.79181811,2418.56,2377.42,2388.55,yes,yes,14,11
p02_4,140,75,65.76473219,11.40175425,40.2809299,40.16217126,30.12454748,51.18057916,13.96209224,70,17,42.29333333,44,27,54,16.10529796,2369.34,2331.43,2341.24,yes,yes,12,6
p02_5,140,75,69.3108938,4.242640687,37.85671179,40.44749683,25.77351539,49.96997497,16.81436011,70,18,44.74666667,48,32,58,15.42214281,2389.07,2311.38,2299.34,yes,yes,20,20
p02_6,140,75,65.19202405,9.899494937,40.41729362,41.86884283,32.89959073,49.32032257,12.37049083,70,17,44.42666667,45,31,57,14.90787115,2480.85,2394.15,2389.36,yes,yes,10,14
p02_7,140,75,66.52818951,9.486832981,39.24320774,39.69886648,29.84939281,48.41487375,12.45300417,70,18,42.88,41,30.5,54.5,15.92813862,2331.99,2319.86,2321.39,yes,yes,12,10
p02_8,140,75,67.88225099,12.04159458,40.19326804,40.31128874,29.66490786,52.8108615,14.29013194,70,17,45.29333333,46,33,57,14.5022052,2516.22,2439.77,2475.93,yes,yes,10,16
p02_9,140,75,70.71067812,10.19803903,40.57970383,40.85339643,31.08047392,49.14770462,13.96785489,70,17,42.74666667,43,30.5,55,15.57527385,2382.81,2344.89,2347.22,yes,yes,12,10
p03_1,200,100,67.2086304,5,36.07034163,34.9983205,25.59778282,46.810329,14.58082489,95,25,59.82,58,44,75.25,19.7991818,2790.51,2710.97,2710.97,yes,yes,12,12
p03_10,200,100,69.3108938,10.04987562,40.98375603,42.71355634,31.6227766,50.27663684,13.61329283,100,25,62.96,63,47,80,20.78120305,3245.77,3145.18,3149.58,yes,yes,32,33
p03_11,200,100,66.48308055,10.77032961,41.03653377,43.84062043,32.46376964,50.30893914,13.07068843,100,26,68.98,74,51.75,85.25,20.19206775,3565.06,3481.03,3481.03,yes,yes,31,31
p03_12,200,100,66.48308055,2.236067977,40.27435773,40.40369175,30.08321791,50.38103319,14.49538234,99,25,61.69,61,44,82,21.96346739,3073.67,3039.82,3039.82,yes,yes,20,20
p03_13,200,100,62.36986452,6.08276253,36.03868906,39.55760722,24.16390535,46.79176443,15.6519293,99,25,62.16,63.5,46,80,20.45126891,2844.51,2761.47,2761.47,yes,yes,17,17
p03_14,200,100,70.00714249,6.32455532,39.49462078,40.91848334,29.56277405,50.29903183,15.4163851,100,25,59.99,59.5,37,80,23.45143706,3033.54,3008.29,3008.29,yes,yes,14,14
p03_15,200,100,66.60330322,3,36.69374464,38.70937271,27.63248974,46.49462125,14.028154,100,25,62.2,61,42,83.25,22.91549694,2924.94,2837.03,2837.03,yes,yes,18,18
p03_16,200,100,67.88225099,6.32455532,37.63541957,40.06866722,29.22143615,46.45264466,13.63177147,100,25,66.23,71,46,84.5,22.92328729,3156.61,3080.45,3080.45,yes,yes,21,21
p03_17,200,100,70.00714249,4.123105626,38.64110023,39.5916532,25.05990431,51.04889483,15.27630101,100,25,66.73,68.5,48.75,87,22.24268644,3208.9,3148.43,3148.43,yes,yes,21,21
p03_18,200,100,66.48308055,3.16227766,39.90975993,41.17625218,31.71317679,49.54278075,14.97968833,100,25,64.98,66,43.75,85.25,22.42988185,3233.57,3140.13,3140.13,yes,yes,24,24
p03_19,200,100,67.2086304,7.280109889,35.80556653,34.9416384,24.15048757,48.11963499,14.81962905,100,26,64.03,65,45.75,84,21.34125348,2980.19,2894.62,2894.62,yes,yes,22,22
p03_2,200,100,67.26812024,5,39.18118949,41.46562303,28.19122574,50.33877844,14.99081019,100,25,63.28,64,48.5,79,20.54559807,3135.62,3105.19,3105.19,yes,yes,14,14
p03_20,200,100,64.66065264,3.16227766,37.62072451,39.16627877,27.95961058,48.78011164,14.4153074,100,25,64.79,67.5,47.75,84,22.76281837,3067.97,3014.97,3014.97,yes,yes,20,20
p03_21,200,100,65.19202405,8.062257748,39.89756065,43.39217098,31.19283638,50.32891813,12.64613199,100,25,58.24,53.5,38.75,77.75,23.35984589,2997.4,2951.46,2951.46,yes,yes,6,6
p03_22,200,100,69.3108938,5.099019514,38.97999005,40.58234259,29.52927993,49.25183284,14.58904986,100,25,61.83,59,43.75,81.5,21.91394761,3017.69,2945.7,2945.7,yes,yes,16,16
p03_23,200,100,70.71067812,10.04987562,39.30904685,39.78753554,29.78505601,49.43667673,14.54231191,100,25,63.65,62,47.75,85,22.51194128,3153.13,3139.46,3139.46,yes,yes,25,25
p03_24,200,100,69.3108938,5.830951895,38.33261767,41.4081573,25.98144628,50.24686812,15.24665283,100,25,62.78,62,44,81,21.98707802,3048.1,2950.15,2950.15,yes,yes,25,25
p03_25,200,100,68.62215386,4.472135955,39.77630464,42.88337149,32.14136135,48.56370607,13.96372404,97,25,60.76,61.5,42,80,20.91847031,3085.43,3019.07,3019.07,yes,yes,22,22
p03_26,200,100,69.3108938,8.602325267,39.65712245,41.05710878,28.66533789,50.43458236,14.12206215,100,26,58.79,59,39.75,77.25,21.39265996,2973.95,2935.01,2935.01,yes,yes,17,17
p03_27,200,100,67.2086304,6.32455532,39.62669387,41.46666095,30.04525452,50.50741356,15.48338247,100,25,61.19,61.5,46,77.25,20.96792551,3048.24,2958.66,2958.66,yes,yes,17,17
